SMILES,Y_Label
CCC(CC)C(=O)N1CC(N)C(C1)C(O)=O,0
CC(=C)C(O)CCC(C)=CCC1=C(O)C=CC(C(=O)C=CC2=CC=C(O)C=C2)=C1O,0
CC(=O)NC1C(N)C=C(OC1C1=NC(C)=NO1)C(O)=O,0
CC(=O)NC1C(OC(=CC1N(CCCC(=O)N1CCCCC1)C(N)=N)C(O)=O)C(O)C(O)CO,0
COC1=C(CC=C(C)CCC(O)C(C)=C)C(O)=C(C=C1)C(=O)C=CC1=CC=C(O)C=C1,0
CCCOC1C=C(CC(N)C1NS(C)(=O)=O)C(O)=O,0
CCN(CC)C(=O)N1CC(N)C(C1)C(O)=O,0
OC(CCC1=CC=CC=C1)CC(O)C=CC1=CC=CC=C1,0
COC(CCC(C)=CCC1=C(O)C=CC(C(=O)C=CC2=CC=C(O)C=C2)=C1O)OC,0
CC(=O)NC1C(N)CC(=CC1N)C(O)=O,0
CCCN(CCC)C(=O)N1CC(N)C(C1)C(O)=O,0
CC(=O)NC1C(OC(=CC1N(CCCC(=O)N1CCOCC1)C(N)=N)C(O)=O)C(O)C(O)CO,0
CC(C)=CCC(O)C1=CC(=O)C2=C(O)C=CC(O)=C2C1=O,0
CC(=O)NC(C(O)C(O)CO)C1OC(O)(CC1O)C(O)=O,0
CC(C)C(=O)OC(CC=C(C)C)C1=CC(=O)C2=C(O)C=CC(O)=C2C1=O,0
CC(C)=CCC(OC(=O)CC(C)(C)O)C1=CC(=O)C2=C(O)C=CC(O)=C2C1=O,0
OCC1CCN(CC2=C3OC(=CC(=O)C3=C(O)C=C2O)C2=CC=C(O)C=C2)CC1,0
CC(C)=CCC(OC(C)=O)C1=CC(=O)C2=C(O)C=CC(O)=C2C1=O,0
COC1=CC=C(C(=O)C=CC2=CC=C(O)C=C2)C(O)=C1CC=C(C)C,0
CCCN(CCC1=CC=CC=C1)C(=O)C1OC(=CC(N)C1NC(=O)CCC)C(O)=O,0
CC1COCC(C)N1CC1=C2OC(=CC(=O)C2=C(O)C=C1O)C1=CC(O)=C(O)C=C1,0
OC1=CC=C(C=C1)C1=CC(=O)C2=C(O)C=C(O)C(CN3CCCC3)=C2O1,0
OC1CCCN(CC2=C3OC(=CC(=O)C3=C(O)C=C2O)C2=CC=C(O)C=C2)C1,0
CC(C)N(CCCN)C(=O)N1CC(N)C(C1)C(O)=O,0
OC1=CC=C(C=C1)C1=CC(=O)C2=C(O)C=C(O)C(CN3CCC(CC4=CC=CC=C4)CC3)=C2O1,0
CC(C)=CCC(OC(=O)C=C(C)C)C1=CC(=O)C2=C(O)C=CC(O)=C2C1=O,0
OC1=CC=C(C=C1)C1=CC(=O)C2=C(O)C=C(O)C(CN3CCN(CC4=CC=CC=C4)CC3)=C2O1,0
OCC1CCCN1CC1=C2OC(=CC(=O)C2=C(O)C=C1O)C1=CC=C(O)C=C1,0
CC(C)(C)OC(=O)N1CC(N)C(C1)C(O)=O,0
OC1=CC=C(C=C1)C1=CC(=O)C2=C(O)C=C(O)C(CN3CCOCC3)=C2O1,0
CC1CCCN(CC2=C3OC(=CC(=O)C3=C(O)C=C2O)C2=CC=C(O)C=C2)C1,0
CN1CCN(CC2=C3OC(=CC(=O)C3=C(O)C=C2O)C2=CC(O)=C(O)C=C2)CC1,0
CCCCC1=NOC(=N1)C1OC(=CC(N)C1NC(C)=O)C(O)=O,0
OC1=CC(O)=C2C(=O)C=C(OC2=C1CN1CCCCC1)C1=CC(O)=C(O)C=C1,0
CC(C)=CCCC1=CC(=O)C2=C(O)C=CC(O)=C2C1=O,0
OC1CCCN(CC2=C3OC(=CC(=O)C3=C(O)C=C2O)C2=CC(O)=C(O)C=C2)C1,0
OC1COCC(O)N1CC1=C2OC(=CC(=O)C2=C(O)C=C1O)C1=CC=C(O)C=C1,0
OCC1CCN(CC2=C3OC(=CC(=O)C3=C(O)C=C2O)C2=CC(O)=C(O)C=C2)CC1,0
OC1CCCN(CC2=C3OC(=CC(=O)C3=C(O)C(O)=C2O)C2=CC=CC=C2)C1,0
CC(=O)NC1C(NCCCC(O)=O)C=C(OC1C(O)C(O)CO)C(O)=O,0
CC(=O)NC1C(NCCCCC(O)=O)C=C(OC1C(O)C(O)CO)C(O)=O,0
CC(C)=CCCC(C)=CCCC(C)=CCO,0
OC1=CC(O)=C2C(=O)C=C(OC2=C1CN1CCOCC1)C1=CC(O)=C(O)C=C1,0
OCC1CCN(CC2=C3OC(=CC(=O)C3=C(O)C=C2O)C2=CC=CC=C2)CC1,0
COC1=CC=C(C(=O)C=CC2=CC=C(O)C=C2)C(O)=C1CC=C(C)CCC=C(C)C,0
CC(=O)NC1C(NC(=O)OC(C)(C)C)C=C(OC1C1=NNC(CC2=CC=CC=C2)=N1)C(=O)OC(C1=CC=CC=C1)C1=CC=CC=C1,0
OC1CCN(CC2=C3OC(=CC(=O)C3=C(O)C(O)=C2O)C2=CC=CC=C2)CC1,0
CCN(C(C)C)C(=O)N1CC(C(N)C1CNC(=O)C=C)C(O)=O,0
CC(=O)NC1C(N)C=C(OC1C1=NC(CC2=CC=CC=C2)=NO1)C(O)=O,0
CC1CCCCN1CC1=C2OC(=CC(=O)C2=C(O)C(O)=C1O)C1=CC=CC=C1,0
CC(C)CC(=O)OC(CC=C(C)C)C1=COC(=C1)C1=C(O)C=CC(O)=C1,0
CC(C)=CCC(OC(=O)C=C(C)C)C1=COC(=C1)C1=C(O)C=CC(O)=C1,0
CC(C)C(=O)OC(CC=C(C)C)C1=COC(=C1)C1=C(O)C=CC(O)=C1,0
OC1=C(O)C(CN2CCCCC2)=C2OC(=CC(=O)C2=C1O)C1=CC=CC=C1,0
OC1=C(O)C(CN2CCCC2)=C2OC(=CC(=O)C2=C1O)C1=CC=CC=C1,0
CC(=O)NCC1CC(CC1NC(N)=N)C(O)=O,0
CCN(C(C)C)C(=O)N1CC(C(N)C1CNS(C)(=O)=O)C(O)=O,0
OCCN1CCN(CC2=C3OC(=CC(=O)C3=C(O)C=C2O)C2=CC=CC=C2)CC1,0
CN1CCN(CC2=C3OC(=CC(=O)C3=C(O)C=C2O)C2=CC=C(O)C=C2)CC1,0
