MW,RBN,nCIC,nHAcc,nHDon,ALogP,TPSA,RESULT,SMILES
353.48,6,2,9,6,-0.801,148.61,1,0.9967555403709412
395.57,8,2,9,6,0.556,148.61,1,0.9983600974082947
298.43,8,1,6,4,0.913,101.65,1,0.9986569881439209
381.54,7,2,9,6,0.1,148.61,1,0.9957668781280518
326.49,10,1,6,4,1.826,101.65,1,0.9986569881439209
283.42,6,1,6,4,0.27,95.66,1,0.9951213002204895
309.46,4,2,6,4,0.8,95.66,1,0.9983385801315308
270.37,5,1,6,4,-0.136,101.65,1,0.9966609477996826
284.4,7,1,6,4,0.457,101.65,1,0.9986659288406372
381.54,10,2,9,6,-0.026,148.61,1,0.9960243701934814
255.36,5,1,6,5,-0.722,104.45,1,0.9965882301330566
340.52,11,1,6,4,2.282,101.65,1,0.9986569881439209
272.41,5,1,5,4,0.289,117.72,1,0.7792953848838806
254.37,5,1,5,4,0.783,92.42,1,0.9985257983207703
371.52,6,2,9,6,-1.286,173.91,1,0.9974097609519958
417.57,10,2,9,7,0.814,157.4,1,0.9969649910926819
367.51,6,2,9,6,-0.424,148.61,1,0.9975594282150269
283.37,3,2,7,4,-1.371,104.89,1,0.9865505695343018
309.46,5,2,6,4,0.587,95.66,1,0.9804752469062805
312.46,9,1,6,4,1.369,101.65,1,0.9986569881439209
479.63,10,3,8,4,2.319,121.96,1,0.997363269329071
353.47,5,2,8,4,-0.169,121.96,1,0.9977355003356934
270.37,6,1,6,4,0.001,101.65,1,0.9989323019981384
267.37,3,2,6,4,-0.597,95.66,1,0.9972426891326904
311.38,3,2,8,4,-1.594,121.96,1,0.995722770690918
313.41,7,1,9,7,-1.575,157.4,1,0.8650625348091125
341.47,8,1,9,7,-0.674,157.4,1,0.9410776495933533
369.53,10,1,9,6,-0.041,148.61,1,0.9973560571670532
339.45,6,2,9,6,-1.257,148.61,1,0.9965949654579163
354.55,12,1,6,4,2.738,101.65,1,0.9986569881439209
304.38,5,2,6,4,0.256,101.65,1,0.9959840774536133
339.45,8,1,9,6,-1.102,148.61,1,0.9966596364974976
403.54,9,2,9,6,0.214,148.61,1,0.9985266923904419
357.47,9,1,10,7,-1.909,168.84,1,0.9973388314247131
325.42,8,1,9,7,-1.307,157.4,1,0.9969249367713928
325.42,6,2,9,6,-1.837,148.61,1,0.546011745929718
341.47,8,1,9,6,-0.846,148.61,1,0.9974820017814636
367.51,6,2,9,6,-0.345,148.61,1,0.9977093935012817
383.56,11,1,9,6,0.523,148.61,0,0.006951316259801388
265.34,6,1,5,2,2.312,75.63,0,0.0012050363002344966
325.41,4,2,8,5,-0.78,130.75,0,0.0015179875772446394
404.47,8,2,10,6,-1.461,165.05,0,0.006148208864033222
328.38,7,1,11,9,-3.439,192.65,0,0.004010573495179415
264.36,6,1,5,3,2.137,78.43,0,0.004472100175917149
292.37,6,1,6,3,1.717,95.5,0,0.0044378903694450855
390.49,8,2,9,6,-1.357,147.98,0,0.9948977828025818
195.2,2,1,6,4,-0.914,105.31,0,0.008611675351858139
315.35,6,1,10,7,0.07,186.34,0,0.0026369609404355288
326.35,7,1,10,9,-1.665,188.99,0,0.7416542768478394
272.32,5,1,8,6,0.224,153.75,0,0.0014140704879537225
405.45,8,2,10,5,-0.858,159.26,0,0.0026767204981297255
255.33,5,1,6,5,0.277,135.48,0,0.0017273451667279005
293.4,8,1,5,2,3.225,75.63,0,0.00315459119156003
271.33,5,1,7,5,0.373,141.72,0,0.001545645180158317
418.55,9,2,9,4,-0.389,125.2,0,0.005034593865275383
286.33,5,1,9,7,-3.468,156.77,0,0.0027459163684397936
280.32,6,1,8,7,-0.322,148.53,0,0.0021785113494843245
196.25,2,1,4,2,0.732,94.31,0,0.0033956600818783045
287.31,5,1,9,6,-3.178,150.98,0,0.01517412718385458
301.29,5,1,10,6,-2.969,168.05,0,0.001996582606807351
222.23,4,1,7,6,0.687,131.79,0,0.0015280545921996236
264.32,5,1,7,6,1.09,128.3,0,0.0028513597790151834
246.28,3,1,8,6,-0.858,156.78,0,0.0016128001734614372
241.26,3,2,4,2,2.219,66.4,0,0.0033063532318919897
236.27,5,1,8,9,0.246,161.1,0,0.030318481847643852
258.28,4,1,7,3,0.664,124.44,0,0.003351934952661395
194.22,3,1,6,7,0.094,125.22,0,0.0017556052189320326
302.35,6,1,9,7,-0.381,173.98,0,0.004265778698027134
180.18,2,1,5,2,-0.167,79.29,0,0.0020868100691586733
252.25,5,1,6,2,0.921,112.22,0,0.004681273829191923
201.22,2,1,5,3,0.263,105.84,0,0.0021435704547911882
216.24,3,1,6,2,0.096,104.74,0,0.002074284479022026
195.2,2,1,6,4,-0.375,105.31,0,0.003033936955034733
162.16,2,1,4,2,1.176,73.12,0,0.0019380778539925814
179.2,3,1,5,5,0.84,99.2,0,0.0014429305447265506
222.22,3,1,6,3,0.401,98.99,0,0.0014008731814101338
194.21,2,1,5,4,-0.192,92.42,0,0.0016604553675279021
195.19,2,1,5,3,0.287,86.63,0,0.0021567854564636946
