DRUGBANK_ID,MW,RBN,nCIC,nHAcc,nHDon,ALogP,TPSA,SMILES
DB01101,359.35,7,2,6,3,1.17,120.69,
DB01102,317.38,8,2,5,5,2.08,92.95,
DB01104,306.23,2,3,1,1,5.06,12.03,
DB01105,279.848,5,2,1,0,5.05,3.24,
DB01106,420.528,4,4,4,1,4.56,64.33,
DB01107,183.248,2,1,2,1,0.94,46.17,
DB01108,329.433,0,5,4,2,2.41,76.78,
DB01113,339.385,6,3,5,0,4.19,49.81,
DB01114,274.788,5,2,2,0,3.74,16.13,
DB01115,346.335,6,2,5,1,2.49,110.45,
DB01116,365.512,4,5,1,0,4.4,23.55,
DB01117,366.837,2,4,3,1,4.74,54.37,
DB01119,230.671,0,2,4,1,1.09,58.53,
DB01120,323.411,2,3,4,2,1.52,78.51,
DB01121,178.188,2,1,2,2,0.81,72.19,
DB01123,209.246,0,3,3,2,2.1,64.93,
DB01124,270.348,4,1,3,2,2.04,75.27,
DB01125,252.265,2,3,3,0,2.99,43.37,
DB01127,381.684,6,3,2,0,4.67,27.05,
DB01128,430.373,6,2,5,2,2.7,107.26,
DB01129,359.443,8,3,5,1,2.04,77.1,
DB01131,253.731,2,1,5,5,2.29,83.79,
DB01132,356.439,7,3,4,1,3.17,68.29,
DB01133,318.608,4,1,6,4,0.62,115.06,
DB01136,406.474,10,4,5,3,3.05,75.74,
DB01137,361.368,2,4,7,1,-0.02,73.32,
DB01138,404.482,6,4,3,0,2.92,57.69,
DB01142,279.376,3,3,2,0,4.08,12.47,
DB01144,305.159,2,1,4,2,0.92,120.32,
DB01145,404.482,8,2,8,4,1.38,132.8,
DB01146,281.392,4,3,2,0,3.82,12.47,
DB01147,435.881,4,4,5,2,2.61,112.74,
DB01148,391.46,6,4,4,0,3.65,55.84,
DB01151,266.381,4,3,2,1,4.02,15.27,
DB01154,254.349,5,1,2,2,3.11,58.2,
DB01156,239.741,4,1,2,1,3.28,29.1,
DB01157,369.418,6,3,8,3,2.36,117.54,
DB01161,270.755,7,1,3,1,2.72,55.56,
DB01162,387.433,4,4,8,1,1.12,103.04,
DB01165,361.368,2,4,7,1,-0.02,73.32,
DB01166,369.461,7,4,5,1,3.38,81.93,
DB01168,221.299,5,1,3,3,0.53,53.16,
DB01170,198.309,3,1,4,2,0.89,67.64,
DB01171,268.739,4,2,3,1,1.56,41.57,
DB01173,269.381,6,2,2,0,3.5,12.47,
DB01174,232.235,2,2,3,2,1.4,75.27,
DB01175,324.392,5,3,3,0,3.58,36.26,
DB01176,266.381,3,3,2,0,3.55,6.48,
DB01178,273.736,1,2,3,0,0.84,54.45,
DB01179,414.405,4,5,7,1,2.37,92.68,
DB01181,261.086,5,1,2,1,0.57,41.57,
DB01182,341.444,11,2,4,2,3.1,58.56,
DB01183,327.374,2,5,5,2,1.47,70,
DB01184,425.911,5,5,3,2,3.7,67.92,
DB01185,336.441,0,4,3,2,2.5,57.53,
DB01186,314.488,4,4,1,1,4.17,19.03,
DB01188,207.269,1,2,2,1,2.15,40.54,
DB01190,424.983,7,2,6,4,1.76,102.26,
DB01191,231.257,5,1,1,1,3.3,12.03,
DB01192,301.337,0,5,5,2,1.26,70,
DB01193,336.426,10,1,5,3,1.43,87.66,
DB01195,414.343,9,2,4,2,2.98,59.59,
DB01196,440.403,6,4,2,1,4.97,49.77,
DB01197,217.285,3,1,3,2,1.02,57.61,
DB01198,388.808,3,4,6,0,0.97,91.76,
DB01203,309.401,6,2,5,4,1.23,81.95,
DB01204,444.481,12,3,10,8,0.91,163.18,
DB01205,303.288,3,3,3,0,1.54,64.43,
DB01206,233.695,4,1,2,1,2.62,61.77,
DB01208,392.4,3,4,7,3,-0.07,98.9,
DB01209,245.36,0,3,2,2,3.77,46.25,
DB01210,291.385,6,2,4,2,2.06,58.56,
DB01214,309.401,8,1,4,2,2.13,67.79,
DB01215,294.738,1,4,3,0,1.72,43.07,
DB01216,372.544,2,4,2,2,3.53,58.2,
DB01217,293.366,4,2,4,0,2.31,78.29,
DB01219,314.253,4,3,5,1,1.65,120.73,
DB01221,237.725,2,2,2,1,2.69,29.1,
DB01222,430.534,4,5,6,2,2.42,93.06,
DB01224,383.507,5,4,5,1,2.93,48.3,
DB01227,353.498,9,2,2,0,4.78,29.54,
DB01228,352.47,6,3,3,1,4.29,41.57,
DB01230,176.172,1,2,4,1,0.52,64.68,
DB01231,309.445,6,3,2,1,4.08,23.47,
DB01233,299.796,7,1,4,2,2.18,67.59,
DB01234,392.461,2,4,5,3,1.93,94.83,
DB01237,334.251,6,2,2,0,4.16,12.47,
DB01238,448.385,7,4,4,1,5.21,44.81,
DB01239,315.86,3,3,1,0,5.42,3.24,
DB01240,352.465,10,2,5,3,3.83,86.99,
DB01241,250.333,6,1,3,1,3.61,46.53,
DB01242,314.852,4,3,2,0,5.04,6.48,
DB01244,366.54,10,3,3,0,5.33,15.71,
DB01246,298.446,4,3,2,0,4.82,6.48,
DB01247,231.25,4,2,3,2,1.19,67.16,
DB01250,302.239,4,2,8,4,2.77,139.78,
DB01253,325.405,3,4,3,3,1.53,68.36,
DB01255,263.378,8,1,3,3,1.01,81.14,
DB01260,416.507,2,5,6,2,2.31,93.06,
DB01261,407.314,5,3,4,1,1.95,77.04,
DB01267,426.484,4,5,5,1,2.3,82.17,
DB01268,398.474,7,3,3,3,3.24,77.23,
DB01273,211.262,0,4,3,1,1.39,37.81,
DB01274,344.405,8,2,5,4,1.91,90.82,
DB01275,160.176,1,2,4,2,0.66,63.83,
DB01283,293.721,4,2,3,2,4.56,49.33,
DB01288,303.353,6,2,5,5,1.36,92.95,
DB01297,266.336,7,1,4,3,0.53,70.59,
DB01298,294.33,3,2,5,2,0.51,104.86,
DB01299,310.329,4,2,7,2,0.72,116.43,
DB01320,362.274,5,3,5,3,1.08,116.17,
DB01322,232.275,3,2,2,0,2.74,35.53,
DB01324,439.882,5,2,5,2,2.13,109.57,
DB01325,289.739,2,2,4,3,1.6,101.29,
DB01326,462.503,7,4,8,3,-0.05,150.54,
DB01331,427.452,8,3,6,3,0.22,148.26,
DB01340,417.499,9,3,6,2,-0.2,99.18,
DB01348,466.614,10,3,5,2,1.79,95.94,
DB01351,226.272,4,1,3,2,1.87,75.27,
DB01353,212.246,4,1,3,2,1.65,75.27,
DB01357,310.43,1,4,2,1,3.89,29.46,
DB01359,291.428,7,2,3,2,3.84,41.49,
DB01364,165.232,3,1,2,2,1,32.26,
DB01365,163.259,3,1,1,1,2.54,12.03,
DB01366,290.358,5,2,4,4,1.28,81.59,
DB01367,171.238,2,2,1,1,2.26,12.03,
DB01380,402.481,4,4,5,1,2.35,97.74,
DB01382,309.341,6,2,6,1,1.27,90.41,
DB01392,354.443,2,5,3,2,2.36,65.56,
DB01393,361.819,7,2,4,2,3.97,75.63,
DB01394,399.437,5,3,6,1,1.59,83.09,
DB01395,366.493,0,7,2,0,2.36,43.37,
DB01399,258.226,4,2,4,2,3.44,83.83,
DB01403,328.472,5,3,3,0,4.84,15.71,
DB01406,337.455,0,5,2,1,3.62,46.26,
DB01407,277.19,4,1,3,3,2.94,58.28,
DB01418,353.325,5,3,5,1,2.53,109.42,
DB01420,344.488,3,4,2,0,3.65,43.37,
DB01424,231.294,2,2,3,0,0.94,26.79,
DB01426,326.433,1,6,4,2,1.72,46.94,
DB01428,228.243,3,2,3,1,3.35,46.53,
DB01435,188.226,1,2,2,0,1.18,23.55,
DB01437,217.264,2,2,2,1,1.89,46.17,
DB01438,213.238,2,2,5,2,2.31,89.65,
DB01452,369.411,4,5,4,0,2.3,65.07,
DB01544,313.283,2,3,4,0,2.2,78.49,
DB01551,301.38,1,5,4,1,,41.93,
DB01558,316.153,1,3,3,1,2.09,54.35,
DB01559,318.821,2,3,2,0,3.58,32.67,
DB01579,191.274,1,2,2,0,2.01,12.47,
DB01580,265.348,9,1,4,2,2.44,50.72,
DB01581,264.304,2,2,5,2,0.44,97.97,
DB01582,278.33,2,2,5,2,0.43,97.97,
DB01586,392.572,4,4,4,3,3.01,77.76,
DB01587,368.814,1,4,3,0,2.6,49.85,
DB01588,324.804,3,4,2,0,3.68,32.67,
DB01589,386.794,3,3,1,0,4.76,15.6,
DB01591,362.473,3,5,2,0,3.9,32.78,
DB01595,281.266,2,3,4,1,1.95,87.28,
DB01600,260.308,4,2,3,1,3.22,54.37,
DB01602,465.52,10,3,6,2,1.17,137.26,
DB01603,380.415,5,3,6,2,1.79,105.17,
DB01604,463.547,9,3,5,2,1.43,128.03,
DB01605,439.569,7,3,5,0,3.23,88.51,
DB01607,384.427,5,3,6,3,0.99,124.01,
DB01608,365.492,4,4,4,1,3.78,50.5,
DB01609,373.361,4,4,6,3,4.01,108.47,
DB01611,335.872,9,2,4,2,3.87,48.39,
DB01613,302.11,11,0,12,0,1.68,220.2,
DB01616,281.435,9,2,1,0,5.73,3.24,
DB01618,276.374,3,3,3,1,2.09,45.33,
DB01619,261.361,1,4,1,0,4.04,3.24,
DB01620,240.343,5,2,2,0,2.85,16.13,
DB01624,400.965,5,4,3,1,4.46,26.71,
DB01625,353.521,8,2,1,1,2.27,43.09,
DB01627,406.54,7,2,7,5,0.5,122.49,
DB01628,358.842,3,3,4,0,3.7,59.92,
DB01656,403.207,7,3,4,1,4.47,60.45,
DB01708,288.424,0,4,2,1,3.53,37.3,
DB01718,284.543,15,0,0,0,2.48,0,
DB02266,281.23,4,2,3,2,4.6,49.33,
DB02300,412.605,5,4,3,3,4.63,60.69,
DB02546,264.32,8,1,3,3,1.88,78.43,
DB02659,408.571,4,4,5,4,2.26,97.99,
DB02709,228.247,2,2,3,3,2.57,60.69,
DB02789,316.478,1,4,2,1,4.06,37.3,
DB02925,362.4,5,3,5,2,2.2,109.93,
DB03017,200.318,10,0,2,1,5.13,37.3,
DB03585,324.374,5,3,3,1,2.79,60.85,
DB03619,392.572,4,4,4,3,3.3,77.76,
DB04571,228.243,0,3,1,0,3.26,39.44,
DB04573,288.381,0,4,3,3,2.54,60.69,
DB04574,350.429,2,4,4,1,0.29,80.67,
DB04575,364.52,2,5,2,1,5.19,29.46,
DB04657,235.302,2,2,2,1,1.65,38.33,
DB04743,308.31,4,2,4,1,2.56,101.22,
DB04794,310.392,4,4,1,0,4.92,17.82,
DB04812,301.724,3,3,3,1,4.22,63.33,
DB04816,240.211,0,3,4,2,2.98,74.6,
DB04820,298.34,7,2,4,3,0.65,83.12,
DB04821,238.327,1,3,2,1,2.94,29.26,
DB04822,335.481,13,1,3,0,4.62,38.77,
DB04824,318.323,2,4,3,2,4.41,66.76,
DB04826,286.435,4,3,2,0,4.47,6.48,
DB04832,317.23,4,2,2,0,3.39,16.13,
DB04837,289.8,5,2,2,1,3.51,23.47,
DB04838,276.371,4,2,2,1,3.79,46.53,
DB04839,416.938,3,5,3,0,3.81,60.44,
DB04840,175.23,0,2,3,2,0.58,53.11,
DB04844,317.423,4,3,4,0,3.23,38.77,
DB04846,379.501,10,1,5,3,2.29,90.9,
DB04854,316.375,5,2,5,1,3.8,83.21,
DB04861,405.435,6,4,5,3,2.44,70.95,
DB04864,242.316,0,3,2,2,1.78,55.12,
DB04871,195.69,0,2,1,1,3,12.03,
DB04876,303.399,3,4,4,2,1.12,76.36,
DB04880,248.301,3,2,2,2,1.97,58.2,
DB04890,388.888,8,3,5,1,3.64,62.66,
DB04896,246.354,5,2,2,1,1.72,46.33,
DB04898,473.565,11,3,7,4,1.35,146.35,
DB04908,390.402,5,4,3,1,3.32,38.82,
DB04920,456.316,10,2,4,1,4.98,90.93,
DB04938,378.891,8,3,2,1,5.7,29.46,
DB04946,426.481,8,4,5,0,4.26,64.8,
DB04948,259.132,3,2,3,1,3.31,33.62,
DB04951,185.222,1,2,1,0,2,20.31,
DB04953,303.331,6,2,4,3,3.07,76.38,
DB05013,430.541,4,4,5,3,2.49,104.06,
DB05015,318.35,4,2,4,3,1.83,95.5,
DB05016,284.242,3,3,4,1,2.96,76.22,
DB05039,392.491,6,4,4,4,3.31,81.59,
DB05154,359.257,6,3,6,0,2.8,91.33,
DB05219,251.05,2,3,3,1,2.6,62.48,
DB05245,357.137,2,2,6,1,0.19,95.17,
DB05246,203.237,1,2,2,0,1.46,37.38,
DB05271,315.48,6,3,2,1,5.01,23.47,
DB05294,475.354,6,4,6,1,5.01,59.51,
DB05316,427.564,8,3,3,1,4.19,44.81,
DB05351,369.36,6,3,4,1,2.84,67.87,
DB05541,212.289,5,1,2,1,0.86,63.4,
DB05676,460.5,8,3,8,1,1.79,122.57,
DB05812,349.509,1,5,2,1,5.1,33.12,
DB06016,427.41,5,3,3,1,4.56,38.82,
DB06077,393.506,5,5,4,0,3.87,26.79,
DB06119,267.67,5,2,4,1,0.99,95.92,
DB06147,255.317,2,2,4,2,0.88,85.08,
DB06148,264.365,0,4,2,0,3.52,6.48,
DB06150,310.329,4,2,7,2,1.08,116.43,
DB06152,299.414,7,2,3,3,2.73,52.49,
DB06153,295.44,0,4,1,0,4.7,3.24,
DB06154,316.137,12,0,12,0,1.62,209.48,
DB06174,413.421,4,5,7,0,2,75.69,
DB06193,325.372,6,3,7,4,0.57,123.13,
DB06201,238.194,3,2,3,1,0.95,73.8,
DB06203,339.392,3,3,5,1,0.66,93.67,
DB06204,221.339,5,1,2,1,3.47,23.47,
DB06209,373.441,6,4,3,0,3.67,46.61,
DB06212,448.941,3,4,3,2,4.14,69.64,
DB06216,401.84,2,4,1,0,,12.47,
DB06217,349.471,7,3,5,1,2.74,51.16,
DB06218,250.294,6,1,3,2,0.18,67.43,
DB06228,435.881,5,4,5,1,1.74,88.18,
DB06230,339.435,2,6,4,2,2.24,52.93,
DB06261,215.293,10,0,3,1,1.55,69.39,
DB06268,454.905,5,4,6,1,3.35,107.73,
DB06274,424.533,8,3,5,3,3.25,89.87,
DB06282,388.89,8,3,5,1,2.98,53.01,
DB06288,369.479,7,2,6,2,1.5,101.73,
DB06292,408.873,6,3,6,4,2.52,99.38,
DB06335,315.41,2,5,4,2,0.88,90.35,
DB06403,378.428,7,3,6,1,3.9,81.54,
DB06412,332.484,0,4,3,2,3.17,57.53,
DB06413,273.35,5,2,2,1,1.75,60.16,
DB06414,435.277,4,3,6,2,3.67,120.64,
DB06480,367.87,6,3,5,2,2.09,76.82,
DB06594,243.301,4,2,2,1,2.83,38.33,
DB06603,349.434,7,3,4,4,3.28,80.64,
DB06605,459.497,5,5,5,1,2.22,110.76,
DB06608,463.501,10,3,5,2,5.07,78.63,
DB06626,386.47,5,4,3,2,4.17,70.67,
DB06654,302.349,7,2,3,2,2.59,64.35,
DB06684,441.525,7,5,4,2,4.21,102.29,
DB06691,285.384,7,2,4,0,2.89,28.6,
DB06694,244.375,3,2,2,1,4.68,24.39,
DB06697,298.375,1,4,5,0,3.02,46.15,
DB06700,263.375,4,2,3,2,2.6,43.7,
DB06701,233.306,4,2,2,1,1.47,38.33,
DB06704,275.09,2,1,3,2,1.53,64.4,
DB06707,183.204,2,1,4,4,-0.77,86.71,
DB06710,302.451,0,4,2,1,3.61,37.3,
DB06711,210.274,2,3,2,1,3.44,24.39,
DB06712,385.371,7,2,6,1,2.97,134.24,
DB06713,327.468,1,4,3,2,3.18,52.82,
DB06716,288.277,6,1,4,2,2.23,75.99,
DB06718,328.492,0,5,2,2,4.33,48.91,
DB06725,371.81,2,3,5,2,3.08,99.6,
DB06729,314.362,3,3,4,2,1.59,90.01,
DB06736,354.18,7,2,4,2,4.88,75.63,
DB06742,378.108,3,2,3,3,3.72,58.28,
DB06751,397.507,9,3,5,1,5.35,48.95,
DB06762,245.33,3,1,5,2,2.3,73.1,
DB06764,200.285,1,3,2,1,3.11,24.39,
DB06766,307.389,1,4,3,0,2.09,38.13,
DB06769,358.263,9,2,4,1,3.07,58.36,
DB06771,393.84,3,4,6,2,0.7,86.87,
DB06774,305.412,9,1,3,2,3.8,58.56,
DB06777,392.572,4,4,4,3,3.01,77.76,
DB06780,372.505,4,4,3,0,3.09,60.44,
DB06786,454.96,2,5,5,1,3.31,72.83,
DB06794,311.63,4,1,7,4,0.72,156.59,
DB06797,232.277,8,0,2,2,1.23,104.64,
DB06802,254.284,4,2,3,2,1.53,86.18,
DB06803,327.12,3,2,4,2,4.49,95.15,
DB06807,229.235,3,2,3,2,3.03,72.55,
DB06813,477.473,10,3,11,5,0.1,207.3,
DB06814,331.368,6,3,6,4,1.29,91.18,
DB06817,444.416,6,3,7,3,,150.02,
DB06819,164.201,4,1,2,1,2.29,37.3,
DB06821,280.3,3,2,6,2,0.53,107.2,
DB06826,382.541,15,1,5,3,3.99,94.83,
DB07565,423.202,11,1,7,3,1.34,156.07,
DB07776,222.239,1,3,2,0,3.54,26.3,
DB08439,370.422,4,3,4,1,3.42,89.27,
DB08604,289.542,2,2,1,1,5.53,29.46,
DB08799,265.353,5,3,3,1,3.22,27.63,
DB08801,292.418,5,3,2,0,4.03,16.13,
DB08814,248.157,4,1,3,1,2.4,63.6,
DB08819,452.531,13,2,4,2,4.46,75.99,
DB08824,427.291,6,3,2,0,4.24,29.54,
DB08828,421.297,4,3,4,1,4.22,76.13,
DB08860,421.461,8,4,5,3,3.75,90.65,
DB08864,366.418,5,3,6,2,3.8,97.42,
DB08865,450.337,5,4,5,2,3.82,77.99,
DB08867,433.592,3,5,4,1,4.45,57.61,
DB08868,307.471,12,1,3,3,4,66.48,
DB08872,329.393,9,1,4,2,2.45,101.93,
DB08877,306.365,4,4,4,1,2.94,83.18,
DB08880,270.207,3,1,3,2,2.3,73.12,
DB08883,349.393,3,4,3,0,3.54,56.99,
DB08893,396.506,9,3,5,4,2.2,100.27,
DB08895,312.37,3,3,5,1,1.58,88.91,
DB08899,464.436,4,3,3,1,3.75,76.44,
DB08905,302.408,0,4,3,1,2.57,54.37,
DB08907,444.516,5,4,5,4,3.09,90.15,
DB08910,273.244,1,3,5,2,0.02,109.57,
DB08918,246.348,5,2,2,1,,46.33,
DB08930,419.379,3,4,6,2,0.98,99.18,
DB08933,354.27,2,3,2,0,4.27,41.61,
DB08936,300.826,3,3,2,0,4.16,6.48,
DB08941,301.386,7,2,4,3,2.06,61.72,
DB08942,335.335,2,3,5,2,2.61,112.74,
DB08944,244.382,5,1,2,0,3.44,27.03,
DB08954,325.445,5,3,3,2,3.98,43.7,
DB08964,394.552,13,1,4,2,4.02,83.83,
DB08967,391.55,4,3,4,0,3.47,43.86,
DB08971,376.462,2,4,4,2,2.09,74.6,
DB08976,406.355,8,3,5,3,3.05,91.68,
DB08981,254.281,5,2,3,1,3.07,54.37,
DB08987,276.417,7,1,3,1,3.66,35.83,
DB08988,261.359,4,2,2,0,3.32,29.54,
DB09009,284.374,7,1,4,2,1.9,70.92,
DB09015,358.478,3,4,4,2,2.73,74.6,
DB09016,293.446,4,3,1,0,,3.24,
DB09019,376.13,3,2,2,1,4.08,29.26,
DB09020,361.391,7,3,3,0,4.71,65.49,
DB09038,450.91,6,4,7,4,1.79,108.61,
DB09039,404.551,11,3,6,2,3.79,74.52,
DB09040,348.398,5,3,4,1,1.49,54.18,
DB09042,450.323,6,4,9,2,0.82,152.79,
DB09054,415.432,5,5,6,2,3.03,99.16,
DB09064,289.15,4,2,3,1,3.97,46.53,
DB09068,298.45,3,3,2,1,4.51,15.27,
DB09069,266.341,5,2,5,1,0.85,42.96,
DB09070,312.453,0,4,2,1,2.69,37.3,
DB09071,245.322,4,3,3,1,3.35,41.82,
DB09073,447.533,5,5,8,2,2.12,103.35,
DB09074,434.463,4,5,5,1,2.68,86.63,
DB09078,426.86,6,4,4,3,3.03,115.57,
DB09080,386.448,7,3,6,4,2.02,100.05,
DB09081,366.498,14,1,5,1,4.5,72.83,
DB09084,309.413,7,3,3,0,3.78,30.29,
DB09085,264.369,9,1,3,1,3.54,41.57,
DB09086,164.201,3,1,2,1,2.66,29.46,
DB09088,235.327,6,1,2,0,2.73,29.54,
DB09089,387.476,10,2,5,0,3.94,57.23,
DB09091,378.53,2,4,4,3,2.42,74.6,
DB09095,394.459,2,4,4,2,2.22,74.6,
DB09096,242.227,5,2,2,0,2.75,52.6,
DB09097,395.56,5,3,5,2,2.56,72.88,
DB09101,447.884,7,3,6,2,3.66,87.07,
DB09118,234.295,3,2,3,1,3.01,38.69,
DB09119,296.326,2,3,2,1,1.99,72.63,
DB09120,305.412,9,1,3,2,3.8,58.56,
DB09123,311.425,1,4,3,1,3.37,61.09,
DB09124,340.507,1,4,2,0,4.35,34.14,
DB09128,433.57,7,5,4,1,5.38,44.81,
DB09148,358.444,12,2,4,1,4.2,39.72,
DB09149,359.432,12,2,5,1,3.61,52.61,
DB09151,273.32,2,3,3,2,4.16,45.15,
DB09164,449.321,9,1,6,3,0.13,106.94,
DB09167,295.44,3,3,1,0,4.98,3.24,
DB09185,237.299,5,2,4,1,1.71,39.72,
DB09195,405.469,5,5,4,0,3.64,37.19,
DB09205,279.38,7,1,3,0,3.22,38.77,
DB09209,398.495,4,6,6,1,1.09,54.4,
DB09212,246.302,4,2,3,1,2.99,54.37,
DB09213,206.281,4,1,2,1,3.5,37.3,
DB09214,254.281,4,2,3,1,3.29,54.37,
DB09216,261.704,3,2,3,2,4.64,49.33,
DB09219,333.343,2,4,4,3,3.61,78.79,
DB09220,211.177,5,1,5,1,0,94.36,
DB09225,331.86,4,3,2,0,4.74,12.47,
DB09236,455.551,11,2,4,1,5.18,90.93,
DB09237,408.88,10,2,5,2,2.22,99.88,
DB09241,319.85,2,3,3,0,3.61,19.37,
DB09242,241.677,2,2,6,2,1.01,71.43,
DB09256,200.169,1,2,3,1,-0.09,58.64,
DB09274,384.425,5,4,7,1,2.35,100.52,
DB09292,411.498,12,2,4,2,3.9,92.7,
DB09299,476.474,12,3,7,2,1.49,143.48,
DB09327,312.257,1,3,3,1,-0.09,58.64,
DB09332,422.084,4,2,6,0,2.37,144.84,
DB09342,294.395,10,1,4,1,2.89,64.79,
DB09345,293.407,9,2,4,0,3.03,30.93,
DB09350,338.438,13,2,5,0,3.07,46.15,
DB09351,307.434,11,2,4,2,3,50.72,
DB09355,276.311,2,2,4,2,1.69,89.26,
DB09366,447.011,5,1,3,0,2.28,46.61,
DB09371,298.426,0,4,2,1,2.6,37.3,
DB09376,363.521,16,1,2,1,1.59,59.28,
DB09378,378.44,2,4,5,3,1.3,94.83,
DB09383,372.461,2,4,5,2,2.09,91.67,
DB09389,312.453,1,4,2,1,3.25,37.3,
DB09480,299.189,4,1,1,1,3.58,12.03,
DB09488,348.438,6,3,4,1,4.29,53.43,
DB09495,310.393,6,2,3,0,4.98,43.37,
DB09496,290.397,10,1,2,0,5.62,35.53,
DB09555,390.86,7,2,2,0,3.74,16.13,
DB09570,361.03,7,1,6,4,2.82,105.64,
DB11071,214.217,3,2,2,1,3.58,46.53,
DB11073,304.541,15,1,0,0,3.18,3.88,
DB11089,422.577,18,0,5,1,2.48,106.97,
DB11096,275.392,4,2,2,1,4.12,52.32,
DB11102,223.225,4,1,4,3,1.03,86.63,
DB11115,274.29,2,3,4,2,1.03,83.05,
DB11117,184.275,9,0,2,1,3.84,37.3,
DB11148,193.246,5,1,2,1,2.88,52.32,
DB11155,315.58,2,2,1,2,5.1,41.13,
DB11156,206.31,2,2,2,0,2.69,15.6,
DB11157,226.231,0,3,3,2,2.73,57.53,
DB11160,255.361,6,2,2,0,3.51,12.47,
DB11164,324.45,13,0,4,4,1.28,76.66,
DB11180,382.462,19,0,4,0,3.85,36.92,
DB11181,275.348,4,3,3,1,1.91,49.77,
DB11185,308.3,4,2,6,2,0.39,100.9,
DB11186,333.472,11,2,3,0,4.16,38.77,
DB11201,276.376,4,2,2,1,4.24,46.53,
DB11207,248.322,7,1,2,0,4.27,35.53,
DB11219,254.373,1,3,1,0,5.09,17.07,
DB11221,244.246,3,2,4,2,3.15,66.76,
DB11235,286.379,7,2,5,0,2.4,41.49,
DB11244,370.77,0,1,5,0,4.08,46.15,
DB11254,194.27,5,1,2,2,3.77,40.46,
DB11255,418.3,9,3,6,0,2.9,117.57,
DB11263,390.388,5,3,8,6,0.65,139.84,
DB11272,311.466,14,0,2,1,4.46,55.4,
DB11278,179.263,3,1,2,1,1.73,23.47,
DB11282,191.269,3,1,1,0,2.1,20.31,
DB11285,222.237,5,1,3,1,2.6,55.76,
DB11299,210.269,6,1,3,1,2.78,38.69,
DB11323,182.175,4,1,3,2,0.89,66.76,
DB11327,252.31,3,2,2,0,0.5,53.88,
DB11328,294.45,11,0,3,1,1.98,63.6,
DB11336,215.211,3,3,4,2,0.96,79.63,
DB11560,404.28,4,4,4,1,3.42,68.01,
DB11570,277.408,9,1,2,0,5.11,29.54,
DB11577,422.389,2,4,10,4,-0.94,166.94,
DB11584,267.372,3,3,2,2,3.36,32.26,
DB11587,193.29,4,1,2,1,2.07,23.47,
DB11590,404.81,4,1,2,0,2.58,40.13,
DB11594,334.567,15,1,1,0,3.1,9.23,
DB11609,295.426,7,2,2,0,3.84,20.31,
DB11610,181.235,3,1,3,3,-0.13,52.49,
DB11619,308.414,1,4,2,1,3.39,37.3,
DB11622,402.531,4,4,5,1,3.37,88.51,
DB11629,435.89,5,4,4,1,3.58,76.37,
DB11632,413.17,3,3,7,2,3.28,149.46,
DB11633,437.47,6,4,5,1,3.46,87.62,
DB11636,328.452,1,4,3,1,2.53,54.37,
DB11642,295.85,8,2,2,0,4.47,12.47,
DB11644,308.116,2,3,3,1,3.91,63.33,
DB11672,368.38,8,2,6,2,3.62,93.06,
DB11699,284.353,3,4,2,1,3.14,45.33,
DB11730,434.548,5,5,7,2,2.5,91.21,
DB11732,377.367,4,3,4,1,2.76,62.3,
DB11738,180.251,3,3,3,1,1.43,33.62,
DB11750,410.907,2,4,4,2,2.72,74.6,
DB11757,384.436,6,3,5,0,2.82,76.9,
DB11760,380.359,2,5,5,2,2.93,84.2,
DB11768,314.16,5,1,0,1,4.47,30.49,
DB11791,412.428,4,5,5,1,3.04,85.07,
DB11793,320.396,3,4,3,2,2.45,72.94,
DB11799,449.386,3,5,6,2,1.28,99.18,
DB11817,371.42,4,4,6,1,1.08,120.56,
DB11823,237.73,2,2,2,1,2.69,29.1,
DB11827,436.89,6,4,7,4,2.21,108.61,
DB11859,318.493,1,4,2,1,4.28,37.3,
DB11901,477.44,4,4,4,1,3.05,89.33,
DB11915,418.578,8,3,5,1,3.63,74.02,
DB11921,441.524,4,5,5,1,2.56,102.26,
DB11942,443.313,7,3,6,2,2.85,97.62,
DB11943,440.76,3,4,8,3,1.67,119.99,
DB11951,410.425,6,4,5,1,3.39,77,
DB11952,416.87,4,5,5,2,3.91,86.8,
DB11963,469.939,7,4,6,2,4.88,79.38,
DB11967,441.233,6,3,5,3,3,88.41,
DB11978,374.448,3,4,4,3,2.68,96.84,
DB11989,260.253,5,2,4,1,0.92,90.06,
DB11994,368.297,5,3,6,1,2.14,124.04,
DB12015,441.47,5,3,4,2,2.76,101.21,
DB12020,376.335,3,5,3,1,2.03,66.48,
DB12107,297.13,5,2,5,3,1.02,95.86,
DB12130,406.421,0,4,6,1,2.01,110.06,
DB12161,323.466,4,3,4,0,3.23,38.77,
DB12243,174.203,1,2,2,0,0.53,32.67,
DB12278,367.481,8,3,3,0,4.16,38.77,
DB12293,253.345,1,3,2,0,3.16,12.47,
DB12300,199.209,2,2,2,0,3.83,45.82,
DB12301,425.749,5,3,5,1,3.51,98.03,
DB12313,356.502,13,2,4,4,3.75,64.52,
DB12328,196.202,0,3,3,0,1.1,52.6,
DB12332,323.371,3,4,2,3,2.39,56.92,
DB12343,414.45,6,3,7,3,1.13,133.24,
DB12401,420.322,6,3,3,1,3.78,40.54,
DB12474,284.443,0,4,1,1,4,20.23,
DB12523,432.503,5,5,5,1,3.51,65.76,
DB12554,429.557,14,2,5,0,4.87,57.23,
