DRUGBANK_ID,MW,RBN,nCIC,nHAcc,nHDon,ALogP,TPSA,SMILES
DB00383,344.448,6,3,4,1,2.89,62.13,
DB00384,253.263,1,3,7,3,1.21,129.62,
DB00387,287.44,5,3,2,1,4.13,23.47,
DB00388,167.205,3,1,3,3,-0.69,52.49,
DB00389,186.232,2,1,1,0,0.78,32.78,
DB00391,341.426,6,2,5,2,1.2,101.73,
DB00392,312.472,5,3,2,0,5.75,6.48,
DB00393,418.44,10,2,6,1,3.41,119.68,
DB00395,260.33,9,0,2,2,1.76,90.65,
DB00396,314.462,1,4,2,0,3.58,34.14,
DB00398,464.825,6,3,3,3,4.12,92.35,
DB00400,352.766,3,3,6,0,2.71,71.06,
DB00401,388.414,8,2,5,1,3.63,110.45,
DB00402,388.808,3,4,6,0,0.97,91.76,
DB00404,308.765,1,4,3,0,2.23,43.07,
DB00405,319.239,5,2,2,0,3.63,16.13,
DB00408,327.808,0,4,3,0,3.18,28.07,
DB00409,371.269,6,2,4,1,2.94,50.8,
DB00412,357.427,7,3,5,1,2.95,71.53,
DB00413,211.327,3,2,3,2,2.18,50.94,
DB00414,324.395,3,2,4,2,1.72,92.34,
DB00417,350.39,5,3,5,2,1.78,95.94,
DB00418,238.283,5,1,3,2,2.2,75.27,
DB00420,284.419,4,3,2,0,4.63,6.48,
DB00421,416.573,2,5,3,0,3.1,60.44,
DB00422,233.306,4,2,2,1,1.47,38.33,
DB00423,241.24,7,1,4,2,0.63,91.01,
DB00424,289.369,5,3,3,1,2.19,49.77,
DB00425,307.389,3,3,2,0,3.15,37.61,
DB00427,278.391,4,3,2,0,4.14,16.13,
DB00433,373.943,4,4,3,0,4.67,9.72,
DB00434,287.398,0,4,1,0,5.02,3.24,
DB00436,421.415,4,3,5,3,1.83,118.36,
DB00439,459.55,11,2,6,3,4.15,99.88,
DB00440,290.318,5,2,7,2,1.26,105.51,
DB00443,392.461,2,4,5,3,1.93,94.83,
DB00446,323.129,6,1,5,3,1.15,115.38,
DB00448,369.361,6,3,4,1,2.84,67.87,
DB00449,351.437,9,1,4,2,3.17,84.86,
DB00450,379.427,6,4,3,1,3.93,52.65,
DB00454,247.333,4,2,2,0,2.9,29.54,
DB00455,382.883,2,4,2,0,4.8,42.43,
DB00456,396.438,7,3,5,2,0.63,113.01,
DB00457,383.401,4,4,7,1,1.93,106.95,
DB00458,280.407,4,3,2,0,4.53,6.48,
DB00459,326.429,6,1,3,1,5.2,46.53,
DB00461,228.286,4,2,2,0,3.41,26.3,
DB00464,316.43,11,0,3,0,3.97,66.43,
DB00465,255.269,3,3,3,1,2.66,59.3,
DB00468,324.417,4,4,4,1,2.82,45.59,
DB00469,337.37,2,3,5,2,2.42,99.6,
DB00472,309.326,7,2,2,1,4.09,21.26,
DB00473,261.359,6,2,2,1,3.04,38.33,
DB00474,262.304,5,1,3,1,2.43,66.48,
DB00475,299.755,1,3,3,1,2.01,50.46,
DB00476,297.415,6,3,2,1,4.72,21.26,
DB00477,318.864,4,3,2,0,5.18,6.48,
DB00478,179.302,1,3,1,1,3.28,26.02,
DB00482,381.372,4,3,3,1,3.99,77.98,
DB00484,292.135,1,3,5,2,1.27,62.2,
DB00485,470.326,3,4,5,2,3.19,112.74,
DB00487,333.357,3,3,6,1,0.2,64.09,
DB00488,210.279,3,1,6,0,2.43,48.39,
DB00489,272.364,5,1,4,3,0.85,78.43,
DB00490,385.503,6,4,6,0,1.95,69.64,
DB00494,305.286,5,1,6,2,2.5,130.38,
DB00495,267.241,3,2,6,2,-0.1,108.3,
DB00496,426.55,7,5,3,1,4.35,55.56,
DB00497,315.364,1,5,5,1,1.04,59,
DB00498,222.239,1,3,2,0,3.1,34.14,
DB00499,276.212,4,1,3,1,2.55,74.92,
DB00500,257.284,4,2,3,1,2.81,59.3,
DB00501,252.339,5,1,5,3,0.44,88.89,
DB00502,375.864,6,3,3,1,3.7,40.54,
DB00504,283.408,2,4,2,1,3.91,23.47,
DB00507,307.282,5,2,5,1,2.14,114.11,
DB00508,352.417,5,3,2,0,4.95,6.48,
DB00514,271.404,1,4,2,0,3.75,12.47,
DB00518,265.331,5,2,3,2,3.22,67.01,
DB00519,430.537,10,3,5,2,1.31,95.94,
DB00521,292.373,6,2,4,3,1.05,70.59,
DB00523,300.435,5,1,2,1,5.66,37.3,
DB00524,365.835,2,3,4,2,3.21,92.5,
DB00527,343.463,10,2,4,1,3.79,54.46,
DB00530,393.436,10,3,7,1,3.13,74.73,
DB00531,261.086,5,1,2,1,0.76,41.57,
DB00532,218.252,2,2,2,1,1.64,49.41,
DB00533,314.356,3,3,3,0,2.32,60.44,
DB00540,263.377,3,3,1,1,4.65,12.03,
DB00542,424.49,10,3,5,2,1.14,95.94,
DB00543,313.781,0,4,3,1,2.82,36.86,
DB00547,376.462,2,4,4,2,2.13,74.6,
DB00548,188.221,8,0,4,2,1.37,74.6,
DB00550,170.232,2,1,1,2,1.53,41.13,
DB00553,216.192,1,3,2,0,2.1,48.67,
DB00554,331.346,2,3,5,2,2.2,99.6,
DB00555,256.091,1,2,5,2,1.87,90.71,
DB00557,374.904,8,3,4,1,3.43,35.94,
DB00561,378.507,6,4,3,0,3.65,32.78,
DB00562,431.937,5,3,6,2,2.25,118.69,
DB00563,454.439,9,3,12,5,-0.91,210.54,
DB00564,236.269,0,3,1,1,2.1,46.33,
DB00571,259.343,6,2,3,2,3.03,41.49,
DB00572,289.369,5,3,3,1,2.19,49.77,
DB00573,242.27,4,2,2,1,3.87,46.53,
DB00574,231.257,5,1,1,1,3.3,12.03,
DB00575,230.094,1,2,3,2,2.55,36.42,
DB00576,270.331,2,2,5,2,0.53,97.97,
DB00578,378.4,5,3,6,3,1.13,124.01,
DB00579,284.74,1,4,3,1,2.64,35.83,
DB00580,314.359,3,3,3,1,3.32,86.19,
DB00582,349.31,5,3,5,1,1.65,76.72,
DB00584,376.447,10,2,5,2,0.19,95.94,
DB00585,331.45,10,1,6,2,0.7,83.33,
DB00586,296.149,4,2,3,2,4.98,49.33,
DB00589,338.447,3,4,2,2,2.37,51.37,
DB00590,451.475,4,5,9,1,2.53,112.27,
DB00591,452.488,2,5,6,2,2.47,93.06,
DB00596,428.9,2,4,4,2,2.93,74.6,
DB00598,328.406,8,2,4,4,1.73,95.58,
DB00599,242.338,4,1,2,2,3.05,58.2,
DB00600,200.233,3,2,2,1,3.08,29.46,
DB00601,337.346,4,3,5,1,0.61,71.11,
DB00603,386.524,3,4,3,0,3.42,60.44,
DB00604,465.945,9,3,6,2,2.95,86.05,
DB00605,356.411,4,3,3,1,2.96,54.37,
DB00606,389.878,2,4,5,3,1.32,118.36,
DB00607,414.475,5,4,5,2,3.21,95.94,
DB00608,319.872,8,2,3,1,5.28,28.16,
DB00609,166.243,2,1,1,1,1.88,38.91,
DB00610,167.205,2,1,3,3,-0.59,66.48,
DB00611,327.461,2,5,3,2,3.65,43.7,
DB00612,325.443,12,1,5,2,2.3,59.95,
DB00613,355.861,6,3,4,2,4.83,48.39,
DB00620,394.434,2,4,6,4,0.84,115.06,
DB00621,306.44,0,4,2,1,3.36,46.53,
DB00623,437.522,7,4,4,1,4.4,29.95,
DB00624,288.424,0,4,2,1,2.99,37.3,
DB00625,315.675,3,3,2,1,3.89,38.33,
DB00628,314.723,2,3,4,2,2.68,78.76,
DB00629,231.082,2,1,4,2,2.25,76.76,
DB00631,303.677,2,3,7,3,0.32,119.31,
DB00633,200.28,2,2,1,1,3.28,28.68,
DB00634,214.242,1,1,4,2,0.15,89.26,
DB00635,358.428,2,4,5,2,2.07,91.67,
DB00636,242.699,5,1,2,0,3.99,35.53,
DB00641,418.566,7,3,3,1,4.51,72.83,
DB00642,427.411,9,3,9,6,0.11,186.97,
DB00643,295.293,4,3,4,2,2.95,84.08,
DB00645,289.413,8,2,3,0,4.11,29.54,
DB00647,339.471,9,2,2,0,4.06,29.54,
