SMILES,MW,RBN,nCIC,nHAcc,nHDon,ALogP,TPSA,RESULT
CCN(C(C)C)C(=O)N1CC(C(N)C1CNC(=O)C(F)(F)F)C(O)=O,368.41,5,1,11,4,-0.2,115.97,Active
CC(=O)NC1C(N)C=C(OC1C(O)C(O)CO)C(O)=O,290.31,5,1,9,7,-3.473,162.34,Active
CN(CCC1=CC=CC=C1)C(=O)C1OC(=CC(N)C1NC(C)=O)C(O)=O,361.44,6,2,8,4,-0.528,121.96,Active
CCCCC1=NN=C(C2OC(=CC(N)C2NC(C)=O)C(O)=O)N1CCC,365.49,8,2,8,4,0.361,132.36,Active
COC(=O)C1CC(OC1C(CC(C)C)NC(C)=O)C(O)=O,301.38,7,1,7,2,0.585,101.93,Active
CCCN(CCC)C(=O)C1OC(=CC(NCC)C1NC(C)=O)C(O)=O,355.49,9,1,8,3,0.093,107.97,Active
CCCCN(CCCC)C(=O)C1OC(=CC(N)C1NC(C)=O)C(O)=O,355.49,9,1,8,4,0.225,121.96,Active
CCCNC(=O)C1OC(=CC(NC(N)=N)C1NC(C)=O)C(O)=O,327.39,7,1,10,7,-1.737,166.63,Active
CC(=O)NC1C(N)CC(=CC1OC1=CC=CC=C1)C(O)=O,290.35,4,2,6,4,0.435,101.65,Active
CC(C)CC(NC(C)=O)C1OC(CC1C1=CNC=N1)C(O)=O,309.41,6,2,6,3,0.564,104.31,Active
CC(=O)NC1C(N)C=C(OC1C(=O)NCCC1=CC=CC=C1)C(O)=O,347.41,6,2,8,5,-0.734,130.75,Inactive
CCCN1N=C(N=C1CC1=CC=CC=C1)C1OC(=CC(NC(=O)OC(C)(C)C)C1NC(C)=O)C(=O)OC(C1=CC=CC=C1)C1=CC=CC=C1,665.86,14,5,10,2,5.614,133.67,Inactive
COC1=CC=C(C(=O)C=CC2=CC=C(O)C=C2)C(O)=C1CC(O)C(C)=C,354.43,7,2,5,3,3.959,86.99,Inactive
CCNC(=O)C1OC(=CC(N)C1NC(C)=O)C(O)=O,271.31,4,1,8,5,-2.29,130.75,Inactive
CC(C)N(C(C)C)C(=O)N1CC(N=C(N)N)C(C1)C(O)=O,299.43,4,1,8,5,-0.329,125.25,Inactive
CC(=O)NC1C(N)C=C(OC1C1=NC(=NO1)C1=CC=CC=C1)C(O)=O,344.36,4,3,9,4,-0.531,140.57,Inactive
CCN(C(C)C)C(=O)N1CC(C(N)C1CNC(=O)CC)C(O)=O,328.47,6,1,8,4,-0.622,115.97,Inactive
CCCN(CCC)C(=O)C1OC(=CC(N)C1NC(=O)C(C)C)C(O)=O,355.49,8,1,8,4,0.442,121.96,Inactive
CCCNC(=O)C1OC(=CC(N)C1NC(C)=O)C(O)=O,285.34,5,1,8,5,-1.766,130.75,Inactive
CC(C)N(CCCC(O)=O)C(=O)N1CC(N)C(C1)C(O)=O,301.39,6,1,8,4,-0.833,124.17,Inactive
NC(=N)NC1=CC(=CC=C1N1C(CO)CCC1=O)C(O)=O,292.33,5,2,8,6,-0.089,139.74,Inactive
CC(C)N(CCO)C(=O)N1CC(N)C(C1)C(O)=O,259.35,4,1,7,4,-1.398,107.1,Inactive
CCC(CC)C(=O)N1CC(N)C(C1)C(O)=O,228.33,4,1,5,3,0.255,83.63,Inactive
CC(=C)C(O)CCC(C)=CCC1=C(O)C=CC(C(=O)C=CC2=CC=C(O)C=C2)=C1O,408.53,9,2,5,4,5.535,97.99,Inactive
CC(=O)NC1C(N)C=C(OC1C1=NC(C)=NO1)C(O)=O,282.29,3,2,9,4,-2.196,140.57,Inactive
CC(=O)NC1C(OC(=CC1N(CCCC(=O)N1CCCCC1)C(N)=N)C(O)=O)C(O)C(O)CO,485.61,11,2,13,8,-2.155,209.74,Inactive
COC1=C(CC=C(C)CCC(O)C(C)=C)C(O)=C(C=C1)C(=O)C=CC1=CC=C(O)C=C1,422.56,10,2,5,3,5.786,86.99,Inactive
CCCOC1C=C(CC(N)C1NS(C)(=O)=O)C(O)=O,292.4,6,1,7,4,-0.47,127.1,Inactive
CCN(CC)C(=O)N1CC(N)C(C1)C(O)=O,229.32,3,1,6,3,-0.887,86.87,Inactive
