SMILES,MW,RBN,nCIC,nHAcc,nHDon,ALogP,TPSA,RESULT
CCCC1CCN(CC1)C1C=C(CC(N)C1NC(C)=O)C(O)=O,323.49,5,2,6,4,1.023,95.66,Active
CC(=O)NC1C(N)C=C(OC1C(=O)N(CCC1=CC=CC=C1)C1CC1)C(O)=O,387.48,7,3,8,4,-0.038,121.96,Active
CC1CCN(CC1)C1C=C(CC(N)C1NC(C)=O)C(O)=O,295.43,3,2,6,4,0.111,95.66,Active
CCC1CCN(CC1)C1C=C(CC(N)C1NC(C)=O)C(O)=O,309.46,4,2,6,4,0.567,95.66,Active
CCCN(CCC)C(=O)C(NC(C)=O)C1CC(CC1NC(N)=N)C(O)=O,369.53,10,1,9,6,0.027,148.61,Active
CCCN(C)C1C=C(CC(N)C1NC(C)=O)C(O)=O,269.39,5,1,6,4,-0.186,95.66,Active
CC(=O)NC1C(N)CC(=CC1N1CCCCCCCC1)C(O)=O,323.49,3,2,6,4,1.228,95.66,Active
CCC(CC)NC(=O)C(NC(C)=O)C1CC(CC1NC(N)=N)C(O)=O,355.5,9,1,9,7,-0.151,157.4,Active
CCCCN(CC)C1C=C(CC(N)C1NC(C)=O)C(O)=O,297.45,7,1,6,4,0.619,95.66,Active
CC(=O)NC1C(N)CC(=CC1OCCCC1=CC=C(C=C1)C1=CC=CC=C1)C(O)=O,408.54,8,3,6,4,2.551,101.65,Active
CCCN(CC)C1C=C(CC(N)C1NC(C)=O)C(O)=O,283.42,6,1,6,4,0.163,95.66,Active
CC(=O)NC1C(O)C=C(CC1NC(N)=N)C(O)=O,256.3,4,1,8,7,-1.707,148.53,Active
CN(CCC1=CC=CC=C1)C1C=C(CC(N)C1NC(C)=O)C(O)=O,331.46,6,2,6,4,0.846,95.66,Active
CCCN(CC)C(=O)C(NC(C)=O)C1CC(CC1NC(N)=N)C(O)=O,355.5,9,1,9,6,-0.497,148.61,Active
CCC(CC)C(=O)N1N=C(CC(NC(N)=N)C1NC(C)=O)C(O)=O,340.44,7,1,10,6,-0.261,160.97,Active
CCCOC1C=C(CC(NC=N)C1NC(C)=O)C(O)=O,283.37,7,1,7,4,-0.232,111.51,Active
CC(=O)NC(C1CC(CC1NC(N)=N)C(O)=O)C(=O)N1CCCCC1,353.48,6,2,9,6,-0.801,148.61,Active
CCCC1CCCCN1C(=O)C(NC(C)=O)C1CC(CC1NC(N)=N)C(O)=O,395.57,8,2,9,6,0.556,148.61,Active
CCCCCCOC1C=C(CC(N)C1NC(C)=O)C(O)=O,298.43,8,1,6,4,0.913,101.65,Active
CCC1CCCCN1C(=O)C(NC(C)=O)C1CC(CC1NC(N)=N)C(O)=O,381.54,7,2,9,6,0.1,148.61,Active
CCCCCCCCOC1C=C(CC(N)C1NC(C)=O)C(O)=O,326.49,10,1,6,4,1.826,101.65,Active
CCCCN(C)C1C=C(CC(N)C1NC(C)=O)C(O)=O,283.42,6,1,6,4,0.27,95.66,Active
CN(C1CCCCC1)C1C=C(CC(N)C1NC(C)=O)C(O)=O,309.46,4,2,6,4,0.8,95.66,Active
CC(C)COC1C=C(CC(N)C1NC(C)=O)C(O)=O,270.37,5,1,6,4,-0.136,101.65,Active
CCCCCOC1C=C(CC(N)C1NC(C)=O)C(O)=O,284.4,7,1,6,4,0.457,101.65,Active
CCCN(CC1CC1)C(=O)C(NC(C)=O)C1CC(CC1NC(N)=N)C(O)=O,381.54,10,2,9,6,-0.026,148.61,Active
CCCNC1C=C(CC(N)C1NC(C)=O)C(O)=O,255.36,5,1,6,5,-0.722,104.45,Active
CCCCCCCCCOC1C=C(CC(N)C1NC(C)=O)C(O)=O,340.52,11,1,6,4,2.282,101.65,Active
CCCSC1C=C(CC(N)C1NC(C)=O)C(O)=O,272.41,5,1,5,4,0.289,117.72,Active
CCCCC1C=C(CC(N)C1NC(C)=O)C(O)=O,254.37,5,1,5,4,0.783,92.42,Active
CC(=O)NC(C1CC(CC1NC(N)=N)C(O)=O)C(=O)N1CCSCC1,371.52,6,2,9,6,-1.286,173.91,Active
CC(CCC1=CC=CC=C1)NC(=O)C(NC(C)=O)C1CC(CC1NC(N)=N)C(O)=O,417.57,10,2,9,7,0.814,157.4,Active
CC1CCCCN1C(=O)C(NC(C)=O)C1CC(CC1NC(N)=N)C(O)=O,367.51,6,2,9,6,-0.424,148.61,Active
CC(=O)NC1C(N)CC(=CC1N1CCOCC1)C(O)=O,283.37,3,2,7,4,-1.371,104.89,Active
CCC1(CC)CN(C1)C1C=C(CC(N)C1NC(C)=O)C(O)=O,309.46,5,2,6,4,0.587,95.66,Active
CCCCCCCOC1C=C(CC(N)C1NC(C)=O)C(O)=O,312.46,9,1,6,4,1.369,101.65,Active
CCCN(CCC1=CC=C(CC2=CC=CC=C2)C=C1)C(=O)C1OC(=CC(N)C1NC(C)=O)C(O)=O,479.63,10,3,8,4,2.319,121.96,Active
CCC1CCC(CC)N1C(=O)C1OC(=CC(N)C1NC(C)=O)C(O)=O,353.47,5,2,8,4,-0.169,121.96,Active
CCCCOC1C=C(CC(N)C1NC(C)=O)C(O)=O,270.37,6,1,6,4,0.001,101.65,Active
CC(=O)NC1C(N)CC(=CC1N1CCCC1)C(O)=O,267.37,3,2,6,4,-0.597,95.66,Active
CC1CCCN1C(=O)C1OC(=CC(N)C1NC(C)=O)C(O)=O,311.38,3,2,8,4,-1.594,121.96,Active
CCNC(=O)C(NC(C)=O)C1CC(CC1NC(N)=N)C(O)=O,313.41,7,1,9,7,-1.575,157.4,Active
CCC(C)NC(=O)C(NC(C)=O)C1CC(CC1NC(N)=N)C(O)=O,341.47,8,1,9,7,-0.674,157.4,Active
CCCCN(CC)C(=O)C(NC(C)=O)C1CC(CC1NC(N)=N)C(O)=O,369.53,10,1,9,6,-0.041,148.61,Active
CC(=O)NC(C1CC(CC1NC(N)=N)C(O)=O)C(=O)N1CCCC1,339.45,6,2,9,6,-1.257,148.61,Active
CCCCCCCCCCOC1C=C(CC(N)C1NC(C)=O)C(O)=O,354.55,12,1,6,4,2.738,101.65,Active
CC(=O)NC1C(N)CC(=CC1OCC1=CC=CC=C1)C(O)=O,304.38,5,2,6,4,0.256,101.65,Active
CN(CC=C)C(=O)C(NC(C)=O)C1CC(CC1NC(N)=N)C(O)=O,339.45,8,1,9,6,-1.102,148.61,Active
CCN(CC1=CC=CC=C1)C(=O)C(NC(C)=O)C1CC(CC1NC(N)=N)C(O)=O,403.54,9,2,9,6,0.214,148.61,Active
CCN(CCO)C(=O)C(NC(C)=O)C1CC(CC1NC(N)=N)C(O)=O,357.47,9,1,10,7,-1.909,168.84,Active
CC(=O)NC(C1CC(CC1NC(N)=N)C(O)=O)C(=O)NCC=C,325.42,8,1,9,7,-1.307,157.4,Active
CC(=O)NC(C1CC(CC1NC(N)=N)C(O)=O)C(=O)N1CCC1,325.42,6,2,9,6,-1.837,148.61,Active
CCCN(C)C(=O)C(NC(C)=O)C1CC(CC1NC(N)=N)C(O)=O,341.47,8,1,9,6,-0.846,148.61,Active
CC(=O)NC(C1CC(CC1NC(N)=N)C(O)=O)C(=O)N1CCCCCC1,367.51,6,2,9,6,-0.345,148.61,Active
CCCCCCN(C)C(=O)C(NC(C)=O)C1CC(CC1NC(N)=N)C(O)=O,383.56,11,1,9,6,0.523,148.61,Inactive
CCC(CC)OC1=CC(=CC=C1NC(C)=O)C(O)=O,265.34,6,1,5,2,2.312,75.63,Inactive
CC(=O)NC1C(N)C=C(OC1C(=O)NC1CCCCC1)C(O)=O,325.41,4,2,8,5,-0.78,130.75,Inactive
CC(=O)NC1C(N)C=C(OC1C(=O)N(CCC1=CC=CC=C1)CC(N)=O)C(O)=O,404.47,8,2,10,6,-1.461,165.05,Inactive
CC(=O)NC1C(NC(N)=N)C=C(OC1C(=O)NCCN)C(O)=O,328.38,7,1,11,9,-3.439,192.65,Inactive
CCC(CC)NC1=CC(=CC=C1NC(C)=O)C(O)=O,264.36,6,1,5,3,2.137,78.43,Inactive
CCC(CC)C(=O)NC1=CC(=CC=C1NC(C)=O)C(O)=O,292.37,6,1,6,3,1.717,95.5,Inactive
CC(=O)NC1C(N)C=C(OC1C(=O)N(CCN)CCC1=CC=CC=C1)C(O)=O,390.49,8,2,9,6,-1.357,147.98,Inactive
CC(=O)NC1=CN=C(C=C1N)C(O)=O,195.2,2,1,6,4,-0.914,105.31,Inactive
CS(=O)(=O)NC1=C(C=NO)C=C(C=C1NC(N)=N)C(O)=O,315.35,6,1,10,7,0.07,186.34,Inactive
CC(=O)NC1=C(C=C(C=C1NC(N)=N)C(O)=O)C(O)C(O)CO,326.35,7,1,10,9,-1.665,188.99,Inactive
CS(=O)(=O)NC1=CC=C(C=C1NC(N)=N)C(O)=O,272.32,5,1,8,6,0.224,153.75,Inactive
CC(=O)NC1C(N)C=C(OC1C(=O)N(CCC1=CC=CC=C1)CC(O)=O)C(O)=O,405.45,8,2,10,5,-0.858,159.26,Inactive
CS(=O)CC1=CC=C(C=C1NC(N)=N)C(O)=O,255.33,5,1,6,5,0.277,135.48,Inactive
CCCC(CCC)OC1=CC(=CC=C1NC(C)=O)C(O)=O,293.4,8,1,5,2,3.225,75.63,Inactive
CS(=O)(=O)CC1=CC=C(C=C1NC(N)=N)C(O)=O,271.33,5,1,7,5,0.373,141.72,Inactive
CN(C)CCN(CCC1=CC=CC=C1)C(=O)C1OC(=CC(N)C1NC(C)=O)C(O)=O,418.55,9,2,9,4,-0.389,125.2,Inactive
CC(=O)NC1C(N)C=C(OC1C(=O)NCCN)C(O)=O,286.33,5,1,9,7,-3.468,156.77,Inactive
CC(=O)NC1=C(CCO)C=C(C=C1NC(N)=N)C(O)=O,280.32,6,1,8,7,-0.322,148.53,Inactive
CC(=S)NC1=CN=C(C=C1)C(O)=O,196.25,2,1,4,2,0.732,94.31,Inactive
CC(=O)NC1C(N)C=C(OC1C(=O)NCCO)C(O)=O,287.31,5,1,9,6,-3.178,150.98,Inactive
CC(=O)NC1C(N)C=C(OC1C(=O)NCC(O)=O)C(O)=O,301.29,5,1,10,6,-2.969,168.05,Inactive
NC(=N)NC1=CC(=CC(C=NO)=C1)C(O)=O,222.23,4,1,7,6,0.687,131.79,Inactive
CC(C)C(=O)NC1=CC=C(C=C1NC(N)=N)C(O)=O,264.32,5,1,7,6,1.09,128.3,Inactive
CS(=O)(=O)NC1=C(N)N=C(C=C1N)C(O)=O,246.28,3,1,8,6,-0.858,156.78,Inactive
OC(=O)C1=CC=C(NC(=O)C2=CC=CC=C2)C=C1,241.26,3,2,4,2,2.219,66.4,Inactive
NC(=N)NC1=CC(=CC(NC(N)=N)=C1)C(O)=O,236.27,5,1,8,9,0.246,161.1,Inactive
CS(=O)(=O)NC1=CC=C(C=C1C=NO)C(O)=O,258.28,4,1,7,3,0.664,124.44,Inactive
NC(=N)NC1=CC(N)=CC(=C1)C(O)=O,194.22,3,1,6,7,0.094,125.22,Inactive
CS(=O)(=O)NC1=C(CO)C=C(C=C1NC(N)=N)C(O)=O,302.35,6,1,9,7,-0.381,173.98,Inactive
CC(=O)NC1=CN=C(C=C1)C(O)=O,180.18,2,1,5,2,-0.167,79.29,Inactive
CC(=O)NC1=CC=C(C=C1CC[N+]([O-])=O)C(O)=O,252.25,5,1,6,2,0.921,112.22,Inactive
NS(=O)(=O)C1=CC=C(C=C1)C(O)=O,201.22,2,1,5,3,0.263,105.84,Inactive
CS(=O)(=O)NC1=CN=C(C=C1)C(O)=O,216.24,3,1,6,2,0.096,104.74,Inactive
CC(=O)NC1=C(N)N=C(C=C1)C(O)=O,195.2,2,1,6,4,-0.375,105.31,Inactive
OC(=O)C1=CC=CC(NC#N)=C1,162.16,2,1,4,2,1.176,73.12,Inactive
NC(=N)NC1=CC(=CC=C1)C(O)=O,179.2,3,1,5,5,0.84,99.2,Inactive
CC(=O)NC1=CC=C(C=C1C=NO)C(O)=O,222.22,3,1,6,3,0.401,98.99,Inactive
CC(=O)NC1=CC=C(C=C1N)C(O)=O,194.21,2,1,5,4,-0.192,92.42,Inactive
CC(=O)NC1=CC=C(C=C1O)C(O)=O,195.19,2,1,5,3,0.287,86.63,Inactive
