ID,MW,RBN,nCIC,nHDon,nHAcc,ALogP,TPSA,Qm,Energy,Dipole,HOMO,LUMO,GAP,IC50 (nM),pIC50,Y-Label
47,290.31,5,1,7,9,-3.473,162.34,0.180316324,-0.482793811,4.3676,-0.35092,-0.00612,0.3448,320,6.494850022,1
48,361.44,6,2,4,8,-0.528,121.96,0.166128521,-0.248514234,1.5294,-0.34769,-0.01356,0.33413,320,6.494850022,1
49,365.49,8,2,4,8,0.361,132.36,0.145472827,-0.162889315,7.9821,-0.34868,-0.02477,0.32391,330,6.48148606,1
50,301.38,7,1,2,7,0.585,101.93,0.166982767,-0.463026675,3.1999,-0.36047,0.01829,0.37876,410,6.387216143,1
51,355.49,9,1,3,8,0.093,107.97,0.152599566,-0.322022482,3.5273,-0.34983,-0.0158,0.33403,420,6.37675071,1
52,355.49,9,1,4,8,0.225,121.96,0.152777358,-0.335783962,3.9975,-0.35867,-0.0157,0.34297,450,6.346787486,1
53,327.39,7,1,7,10,-1.737,166.63,0.187313372,-0.254216035,4.391,-0.36644,-0.01522,0.35122,500,6.301029996,1
54,290.35,4,2,4,6,0.435,101.65,0.167183868,-0.206175283,4.5768,-0.345,-0.01634,0.32866,530,6.27572413,1
55,309.41,6,2,3,6,0.564,104.31,0.154465705,-0.230921621,9.977,-0.35112,0.01536,0.36648,580,6.236572006,1
56,347.41,6,2,5,8,-0.734,130.75,0.172241044,-0.262788029,1.5538,-0.35046,-0.01432,0.33614,12000,4.920818754,0
57,665.86,14,5,2,10,5.614,133.67,0.145804385,-0.115374767,3.9986,-0.34852,-0.00702,0.3415,12000,4.920818754,0
58,354.43,7,2,3,5,3.959,86.99,0.156142489,-0.223631484,4.4683,-0.33148,-0.03019,0.30129,12300,4.910094889,0
59,271.31,4,1,5,8,-2.29,130.75,0.186200257,-0.305065499,1.6401,-0.35725,-0.01397,0.34328,13000,4.886056648,0
60,299.43,4,1,5,8,-0.329,125.25,0.167518644,0,3.8316,-0.34386,0.03019,0.37405,13000,4.886056648,0
61,344.36,4,3,4,9,-0.531,140.57,0.15360625,-9.42E-02,5.1456,-0.35617,-0.02553,0.33064,14000,4.853871964,0
62,328.47,6,1,4,8,-0.622,115.97,0.15998474,-0.278160596,5.8069,-0.35094,0.02044,0.37138,16000,4.795880017,0
63,355.49,8,1,4,8,0.442,121.96,0.154875528,-0.336619539,2.1532,-0.35789,-0.01253,0.34536,17000,4.769551079,0
64,285.34,5,1,5,8,-1.766,130.75,0.178411921,-0.308321011,3.2244,-0.36283,-0.0164,0.34643,19000,4.721246399,0
65,301.39,6,1,4,8,-0.833,124.17,0.165314093,-0.345560807,4.4867,-0.36697,0.02632,0.39329,19000,4.721246399,0
66,292.33,5,2,6,8,-0.089,139.74,0.179183833,-0.172350686,10.5613,-0.33939,-0.03009,0.3093,20000,4.698970004,0
67,259.35,4,1,4,7,-1.398,107.1,0.157353974,-0.26720004,4.2971,-0.35854,0.03549,0.39403,21000,4.677780705,0
68,228.33,4,1,3,5,0.255,83.63,0.153600486,-0.238692456,2.6914,-0.35771,0.02831,0.38602,22000,4.657577319,0
69,408.53,9,2,4,5,5.535,97.99,0.148919719,-0.237205294,6.2541,-0.33318,-0.03217,0.30101,22500,4.647817482,0
70,282.29,3,2,4,9,-2.196,140.57,0.162276303,-0.148153992,4.9848,-0.36272,-0.01742,0.3453,23000,4.638272164,0
71,485.61,11,2,8,13,-2.155,209.74,0.163495265,-0.489814709,4.6553,-0.35535,-0.0163,0.33905,23100,4.63638802,0
72,422.56,10,2,3,5,5.786,86.99,0.143651733,-0.225610651,5.6876,-0.33145,-0.02989,0.30156,24200,4.616184634,0
73,292.4,6,1,4,7,-0.47,127.1,0.302025842,-0.325461196,5.4843,-0.35993,-0.02898,0.33095,25000,4.602059991,0
74,229.32,3,1,3,6,-0.887,86.87,0.160962,-0.200161014,3.5181,-0.35354,0.03208,0.38562,25000,4.602059991,0
75,282.41,7,2,2,2,3.635,40.46,0.12623519,-9.17E-02,0.2084,-0.3309,-0.00325,0.32765,29800,4.52651303,0
76,412.52,10,2,3,6,4.662,96.22,0.145622596,-0.319205517,1.4522,-0.32557,-0.02057,0.305,30900,4.510041521,0
77,213.27,2,1,6,6,-2.026,118.44,0.183375724,-0.195366207,1.8692,-0.36063,-0.01392,0.34671,31000,4.508638306,0
78,257.38,5,1,3,6,0.16,86.87,0.15089675,-0.219595232,3.4587,-0.35665,0.03122,0.38787,32000,4.494850022,0
79,487.58,11,2,8,14,-3.385,218.97,0.165570864,-0.539452677,3.2301,-0.35563,-0.01424,0.34139,33300,4.477555766,0
80,288.32,3,2,3,5,2.394,94.83,0.169239639,-0.256278758,1.4987,-0.33859,-0.06627,0.27232,34100,4.467245621,0
81,309.31,6,1,7,10,-3.389,176.78,0.188531897,-0.681170616,1.9045,-0.37461,0.01038,0.38499,40000,4.397940009,0
82,358.42,6,2,2,6,3.903,100.9,0.162048298,-0.32942916,1.5767,-0.33784,-0.06494,0.2729,40500,4.392544977,0
83,388.45,7,2,3,7,2.932,121.13,0.166891333,-0.405404639,2.1287,-0.33743,-0.06454,0.27289,40500,4.392544977,0
84,397.46,4,4,4,7,2.419,114.37,0.157938098,-0.298856646,5.5113,-0.33297,-0.03411,0.29886,40910,4.388170521,0
85,330.36,5,2,2,6,2.773,100.9,0.17193022,-0.31291668,1.5513,-0.33816,-0.06538,0.27278,41400,4.382999659,0
86,338.43,6,2,2,4,5.007,66.76,0.146747174,-0.157808148,5.0519,-0.33089,-0.02916,0.30173,42100,4.375717904,0
87,417.56,10,2,4,8,1.468,121.96,0.150744583,-0.278948467,4.586,-0.35336,-0.01863,0.33473,43000,4.366531544,0
88,413.46,3,4,4,8,2.583,123.6,0.154580615,-0.334551253,2.3533,-0.33114,-0.02948,0.30166,43460,4.361910278,0
89,353.4,3,4,3,6,2.869,94.14,0.160939295,-0.203356504,3.4074,-0.32744,-0.03293,0.29451,44470,4.351932871,0
90,383.43,3,4,4,7,2.358,114.37,0.153011229,-0.276045358,3.5203,-0.33094,-0.02736,0.30358,45350,4.343422709,0
91,272.4,5,1,5,7,-1.625,112.89,0.154792524,-0.20268687,3.3651,-0.35453,0.03462,0.38915,46000,4.337242168,0
92,457.56,5,5,3,6,5.065,94.14,0.1426966,-0.171488078,2.0638,-0.32712,-0.02543,0.30169,46110,4.336204878,0
